Legacy_Name	glyph_name	ps_name	USV	Dir	DesignerOrder	fonts	base	Glyphsbase	above	below	center	ring	through	aboveLeft	MirrorGlyph	UnicodeVer	old name / commet	bcp47tags	OTLang	Feat	MarkGroup
absAlefDigitThreeAboveFin.postLamIni	alefThreeabove-ar.postLamIni.fina	uni0774.postLamIni.fina		AL	293	SHL	absAlefFin.postLamIni	alef-ar.postLamIni.fina						_three		5.1					
absAlefDigitThreeAboveFin.postLamMed	alefThreeabove-ar.postLamMed.fina	uni0774.postLamMed.fina		AL	294	SHL	absAlefFin.postLamMed	alef-ar.postLamMed.fina						_three		5.1					
absAlefFatha	alef_fatha-ar	uni0627064E	0627 064E	AL	295	H	absAlef	alef-ar	fatha-ar												
absAlefFatha.warsh	alef_fatha-ar.warsh	uni0627064E.warsh		AL	296	H	absAlef	alef-ar	fatha-ar								in Warsh these touch			cv02=2	
absAlefKasra	alef_kasra-ar	uni06270650	0627 0650	AL	297	H	absAlef	alef-ar	kasra-ar												
absAlefKasra.warsh	alef_kasra-ar.warsh	uni06270650.warsh		AL	298	H	absAlef	alef-ar	kasra-ar								in Warsh these touch			cv02=2	
absBehNoDots	behDotless-ar	uni066E	066E	AL	299	*															
absBehNoDotsFin	behDotless-ar.fina	uni066E.fina		AL	300	*															
absBehNoDotsMed	behDotless-ar.medi	uni066E.medi		AL	301	*															
absBehNoDotsIni	behDotless-ar.init	uni066E.init		AL	302	*															
absBeh	beh-ar	uni0628	0628	AL	303	SHLM	absBehNoDots	behDotless-ar		_dot1											
absBehFin	beh-ar.fina	uni0628.fina		AL	304	SHLM	absBehNoDotsFin	behDotless-ar.fina		_dot1											
absBehMed	beh-ar.medi	uni0628.medi		AL	305	SHLM	absBehNoDotsMed	behDotless-ar.medi		_dot1											
absBehIni	beh-ar.init	uni0628.init		AL	306	SHLM	absBehNoDotsIni	behDotless-ar.init		_dot1											
absPeh	peh-ar	uni067E	067E	AL	307	SHLM	absBehNoDots	behDotless-ar		_dot3d											
absPehFin	peh-ar.fina	uni067E.fina		AL	308	SHLM	absBehNoDotsFin	behDotless-ar.fina		_dot3d											
absPehMed	peh-ar.medi	uni067E.medi		AL	309	SHLM	absBehNoDotsMed	behDotless-ar.medi		_dot3d											
absPehIni	peh-ar.init	uni067E.init		AL	310	SHLM	absBehNoDotsIni	behDotless-ar.init		_dot3d											
absBeeh	beeh-ar	uni067B	067B	AL	311	SHLM	absBehNoDots	behDotless-ar		_dot2v											
absBeehFin	beeh-ar.fina	uni067B.fina		AL	312	SHLM	absBehNoDotsFin	behDotless-ar.fina		_dot2v											
absBeehMed	beeh-ar.medi	uni067B.medi		AL	313	SHLM	absBehNoDotsMed	behDotless-ar.medi		_dot2v											
absBeehIni	beeh-ar.init	uni067B.init		AL	314	SHLM	absBehNoDotsIni	behDotless-ar.init		_dot2v											
absBeheh	beheh-ar	uni0680	0680	AL	315	SHL	absBehNoDots	behDotless-ar		_dot4											
absBehehFin	beheh-ar.fina	uni0680.fina		AL	316	SHL	absBehNoDotsFin	behDotless-ar.fina		_dot4											
absBehehMed	beheh-ar.medi	uni0680.medi		AL	317	SHL	absBehNoDotsMed	behDotless-ar.medi		_dot4											
absBehehIni	beheh-ar.init	uni0680.init		AL	318	SHL	absBehNoDotsIni	behDotless-ar.init		_dot4											
absTeh	teh-ar	uni062A	062A	AL	319	SHLM	absBehNoDots	behDotless-ar	_dot2h												
absTehFin	teh-ar.fina	uni062A.fina		AL	320	SHLM	absBehNoDotsFin	behDotless-ar.fina	_dot2h												
absTehMed	teh-ar.medi	uni062A.medi		AL	321	SHLM	absBehNoDotsMed	behDotless-ar.medi	_dot2h												
absTehIni	teh-ar.init	uni062A.init		AL	322	SHLM	absBehNoDotsIni	behDotless-ar.init	_dot2h												
absTehRing	tehRing-ar	uni067C	067C	AL	323	SHL	absBehNoDots	behDotless-ar	_dot2h			_ring									
absTehRingFin	tehRing-ar.fina	uni067C.fina		AL	324	SHL	absBehNoDotsFin	behDotless-ar.fina	_dot2h			_ring									
absTehRingMed	tehRing-ar.medi	uni067C.medi		AL	325	SHL	absBehNoDotsMed	behDotless-ar.medi	_dot2h			_ring									
